legal_code,legal_name,region_group,size_stratum,sampling_weight,n,mean_unit_price,median_unit_price,cv,p10,p25,p75,p90,iqr,p10_p90_width,p90_p10_ratio
1111010900,서울특별시 종로구 누상동,서울,low,28.214583333333334,1097,3751475.4422922595,3839091.971290269,0.13732850581393158,2983579.7571823536,3585125.8962814743,4067460.3174603176,4220883.436968216,482334.42117884336,1237303.679785862,1.4147044089595087
1111018100,서울특별시 종로구 행촌동,서울,low,28.214583333333334,1087,2692236.173676477,2702219.040801718,0.1917050178012851,2013102.4372778253,2521224.6133444803,2876904.6255262466,3084304.3180260453,355680.01218176633,1071201.88074822,1.5321149390672488
1114016200,서울특별시 중구 신당동,서울,high,28.214583333333334,5975,4167249.6568486006,3751482.7995255045,0.40943685879978486,2412760.310778349,2827140.4487823555,5266447.408789132,6582537.5170532055,2439306.9600067763,4169777.2062748563,2.7282185833576227
1117013000,서울특별시 용산구 이태원동,서울,mid,27.241666666666667,2079,7012732.134357863,5955387.205387205,0.4546376854533321,4206538.501389407,4772154.526501887,8687865.912879474,11318318.673661238,3915711.386377588,7111780.172271831,2.6906490146049613
1123010500,서울특별시 동대문구 답십리동,서울,high,28.214583333333334,1337,5333042.551345068,5519244.734931009,0.3526463591454849,2771598.4418813125,3379310.3448275863,6935645.215071691,7710843.373493976,3556334.870244105,4939244.931612663,2.7820925488253594
1126010100,서울특별시 중랑구 면목동,서울,high,28.214583333333334,16503,4123479.846874713,4158283.031522468,0.3895927028528706,2222222.2222222225,2700740.5256279944,5000000.0,6482982.171799028,2299259.4743720056,4260759.949576806,2.9173419773095626
1141011000,서울특별시 서대문구 북아현동,서울,mid,27.241666666666667,1901,5994971.118029074,6021118.849696698,0.34336996111805257,3465150.1124189924,4251012.145748988,7138304.6526449965,8739837.398373984,2887292.5068960087,5274687.285954991,2.5222103270651024
1144012000,서울특별시 마포구 서교동,서울,mid,27.241666666666667,4317,4754053.658215563,4259704.568876674,0.3392164008244132,3460089.071599863,3804435.810263882,5483170.466883821,6315433.975008443,1678734.6566199395,2855344.90340858,1.8252229478266975
1153010900,서울특별시 구로구 궁동,서울,mid,27.241666666666667,4975,3369250.1267595235,2667893.2842686293,0.5375879572243007,1769118.18514453,1981005.4204679742,3980646.580162745,6987744.571059987,1999641.1596947708,5218626.385915457,3.9498461039724804
1171010300,서울특별시 송파구 풍납동,서울,high,28.214583333333334,2220,4333129.689267372,3753082.8418139433,0.3090628203061585,3003139.4533844087,3414316.9498307407,5601317.957166391,6197654.9413735345,2187001.0073356507,3194515.487989126,2.063725323973565
2726010100,대구광역시 수성구 범어동,지방,high,234.95208333333332,1155,2788514.199544067,2518643.5908259465,0.4198289109225553,1615735.862311205,1845308.205732234,3547225.9247215944,4387808.723068838,1701917.7189893604,2772072.860757633,2.715672050994996
2811012300,인천광역시 중구 신생동,수도권(경기·인천),low,80.75,58,1032817.393046194,960512.2732123799,0.2285188027031819,855039.637599094,906002.2650056625,1001067.2358591248,1548516.8426344898,95064.97085346235,693477.2050353958,1.81104685039239
3014011800,대전광역시 중구 사정동,지방,mid,268.51666666666665,714,888452.2957082607,674111.6751269036,0.47425072797530904,566093.7680937457,609771.3631657283,1261636.4527192554,1427714.4571085784,651865.0895535271,861620.6890148327,2.5220458828159145
4122010100,경기도 평택시 서정동,수도권(경기·인천),high,80.75,7953,1186023.7452223843,1095406.3604240282,0.35612345858076333,749229.5839753466,922807.0175438597,1315351.3153513153,1778414.1471332763,392544.29780745564,1029184.5631579297,2.37365713416863
4136025625,경기도 남양주시 화도읍 금남리,수도권(경기·인천),low,80.75,225,1341026.3976575183,794933.9800592832,0.8125734695076808,632276.8434670116,670456.7731817291,1982892.6905132195,2311628.6127365693,1312435.9173314902,1679351.7692695577,3.6560387061797814
4139012000,경기도 시흥시 하상동,수도권(경기·인천),mid,80.75,21,1256852.2965981779,1262983.9471199245,0.020541113141744453,1227573.1822474033,1257812.5,1279292.2046867528,1279292.2046867528,21479.704686752753,51719.02243934944,1.0421311113563623
4145010800,경기도 하남시 덕풍동,수도권(경기·인천),high,80.75,1816,3688601.1357899792,3133159.268929504,0.422851345813794,2192413.3141559856,2420856.610800745,5537533.138894383,5993340.732519423,3116676.528093638,3800927.418363437,2.733672840710093
4145011400,경기도 하남시 감일동,수도권(경기·인천),mid,80.75,142,4393448.244772244,4666115.767100446,0.18014829977978009,3170729.770418188,3787026.621672291,4717226.81994348,5313791.794900203,930200.1982711894,2143062.024482015,1.6758892052157968
4150035025,경기도 이천시 대월면 초지리,수도권(경기·인천),mid,80.75,602,1127562.8048473084,955985.9154929578,0.4392066026087494,595166.3024146125,686143.572621035,1482024.9449743212,1628919.8606271776,795881.3723532861,1033753.5582125651,2.7369154705476224
4155013000,경기도 안성시 신모산동,수도권(경기·인천),low,80.75,50,497611.5968552421,497848.80147510755,0.03395258186630062,479409.9569760295,479869.8657991053,515888.1444651764,518503.45668971125,36018.27866607107,39093.499713681755,1.0815450308130259
4155025026,경기도 안성시 공도읍 승두리,수도권(경기·인천),mid,80.75,234,952422.9315277528,612742.3408721194,0.5480390022004322,512471.65532879817,558789.2898719441,1524992.9398475008,1675739.4084732232,966203.6499755566,1163267.753144425,3.2699162793658916
4159011700,경기도 화성시 병점동,수도권(경기·인천),high,80.75,1102,2308598.7563207485,2330131.2736022742,0.4612135531384986,975780.9757809759,1322256.836275528,2977448.907681466,4055829.2282430213,1655192.0714059381,3080048.2524620453,4.156495493260564
4161033021,경기도 광주시 도척면 노곡리,수도권(경기·인천),low,80.75,261,1235565.8390812362,1146159.0754588717,0.46034711675269835,619897.9591836734,819521.1786372007,1349897.1356227251,2262443.438914027,530375.9569855244,1642545.4797303537,3.6497029961082252
4380025027,충청북도 단양군 단양읍 상진리,지방,mid,268.51666666666665,349,610244.4274307644,517774.34312210203,0.3393007733044426,477707.00636942673,509554.1401273885,584590.5172413794,821114.281983847,75036.37711399083,343407.2756144203,1.7188658969528532
4611016400,전라남도 목포시 옥암동,지방,high,234.95208333333332,124,1006275.2390644714,1027863.7770897833,0.4018779651176463,344613.4740763738,874959.1963011143,1118012.4223602484,1650165.0165016502,243053.22605913412,1305551.5424252765,4.788451818154789
4711310900,경상북도 포항시 북구 대신동,지방,low,234.95208333333332,561,1306611.4837663744,1326578.6993402452,0.13440976502824686,1287089.0136327185,1324248.7770789657,1390635.9189378056,1396937.5736160188,66387.1418588399,109848.55998330028,1.0853465135820408
4728010900,경상북도 문경시 공평동,지방,low,234.95208333333332,72,1301866.4716468325,1332331.3992005037,0.07499848415563387,1195590.729225551,1195590.729225551,1402681.623519264,1405844.1558441557,207090.89429371292,210253.4266186047,1.1758573577722513
4817012600,경상남도 진주시 평거동,지방,high,234.95208333333332,245,799569.1645086721,799220.2729044834,0.13541051868372445,640672.7023897253,723618.0904522614,908966.8349938584,929814.5224940805,185348.74454159697,289141.8201043552,1.4513097233983108
4817040022,경상남도 진주시 대곡면 광석리,지방,low,234.95208333333332,20,456228.77253254235,455128.2051282051,0.046156682318558746,439008.93318742304,442163.45429031993,455501.66294024396,491928.78859681415,13338.208649924025,52919.85540939111,1.1205439147335037
4874025022,경상남도 창녕군 창녕읍 교리,지방,mid,268.51666666666665,167,882168.7439787863,973922.2990952635,0.23782606564065453,639396.3463065925,686902.8903132181,1000819.0008190009,1094578.6682380673,313916.11050578277,455182.32193147484,1.7118938426232633
5011012900,제주특별자치도 제주시 도남동,지방,high,234.95208333333332,1813,1723047.8926554802,1311263.9724849525,0.45885593068879277,978780.633592349,1070546.737213404,2557454.3311726577,2887431.998884084,1486907.5939592537,1908651.3652917352,2.9500297613026403
5218010600,전북특별자치도 정읍시 농소동,지방,mid,268.51666666666665,13,415271.6504711389,415175.3758052971,0.02379248243288891,404438.081603436,405505.03809289756,427105.7026962539,427519.93631216796,21600.66460335633,23081.85470873199,1.0570714177488472
